ip,status,hostname,mac,vendor,latency_ms,ttl,os_hint,open_ports,scanned_at
10.80.80.163,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.982076
10.80.80.173,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.986036
10.80.80.165,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.982550
10.80.80.179,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.989892
10.80.80.171,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.985723
10.80.80.176,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.987634
10.80.80.181,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.990339
10.80.80.197,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.037361
10.80.80.193,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.028499
10.80.80.196,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.030523
10.80.80.164,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.982365
10.80.80.195,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.029928
10.80.80.180,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.990193
10.80.80.200,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.057662
10.80.80.174,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.986343
10.80.80.188,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.996515
10.80.80.194,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.029628
10.80.80.183,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.994043
10.80.80.199,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.051930
10.80.80.191,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.019161
10.80.80.184,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.994452
10.80.80.198,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.038001
10.80.80.186,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.995010
10.80.80.177,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.987817
10.80.80.182,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.991117
10.80.80.187,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.995531
10.80.80.185,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.994858
10.80.80.201,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.481943
10.80.80.202,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.994162
10.80.80.235,dead,,,,-1.0,-1,,,2026-04-09T17:33:34.037905
10.80.80.210,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.997355
10.80.80.222,dead,,,,-1.0,-1,,,2026-04-09T17:33:34.010050
10.80.80.214,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.998173
10.80.80.207,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.995414
10.80.80.212,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.997956
10.80.80.203,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.994343
10.80.80.231,dead,,,,-1.0,-1,,,2026-04-09T17:33:34.029760
10.80.80.213,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.998047
10.80.80.205,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.994693
10.80.80.218,dead,,,,-1.0,-1,,,2026-04-09T17:33:34.004334
10.80.80.204,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.994463
10.80.80.224,dead,,,,-1.0,-1,,,2026-04-09T17:33:34.020688
10.80.80.221,dead,,,,-1.0,-1,,,2026-04-09T17:33:34.008966
10.80.80.208,dead,,,,-1.0,-1,,,2026-04-09T17:33:33.995874
